hit_speed,hit_angle
88.3,-11
105,14
102.3,26
80.6,55
103.9,16
83.1,8
54,2
53,-17
58.5,-34
85.9,-22
102.2,33
86,15
84.6,34
82.9,37
92.6,-15
79.9,24
99.5,22
98.1,-8
90.5,59
97.4,13
99.8,8
85.1,28
87.5,45
83,22
85.2,29
39.9,33
73.1,65
91,-20
79,24
81,-6
106.2,13
92.9,33
87.2,62
80.5,-23
96.6,58
88.9,51
71,61
106.9,21
81.6,22
60.4,-28
92.3,49
102.3,16
71.8,57
88.8,15
82.6,3
102.4,28
97.5,28
98.7,23
98.5,28
100.7,23
91.1,23
111.7,17
75,-26
113.5,12
101.2,46
105.7,20
92,32
97.3,57
87.8,-10
88.1,71
63.2,48
70.4,20
99.4,11
89.6,78
107.1,11
105.8,29
86.1,68
95,57
108.7,-5
100.8,-8
93.6,-16
104.1,29
95.5,-5
98.6,6
94,65
63.3,-35
90.7,79
99.4,44
92.4,-4
87.3,41
107.8,-2
75,4
35.3,5
76.5,32
103.5,24
98,11
88.2,61
69,-14
66.5,-24
87,-24
97.7,27
107.1,5
92.5,6
97.6,32
77,19
94.2,54
105.6,28
90.7,19
96.2,41
109.4,23
106.2,5
96.3,-20
93.8,56
32.2,18
100.1,39
92.3,-13
90.5,44
59.8,44
89.8,11
90.5,58
95.1,-21
68.4,-20
103,10
97.2,32
106.4,30
79.5,10
71.5,-0
79.9,24
99.5,22
98.1,-8
90.5,59
101.9,8
81.1,-1
85.9,11
58,62
100.2,51
92,51
104.9,33
84.9,41
101.4,42
90.7,68
82.7,-7
78.2,69
91.3,42
77.5,8
97.9,-4
84.5,84
105.8,23
73.9,-9
92.4,58
103.3,31
68.5,5
80.6,-15
88,-22
58.3,18
104.3,24
107.7,23
88.5,-29
54,-53
67.9,-7
96.6,13
80.3,-2
66.2,-52
101.8,13
103.5,5
53.4,50
103.4,0
79.9,53
88.3,6
73.3,-16
96.5,-24
71.3,-22
90.7,26
110.3,1
97.8,-7
103.9,45
96.2,17
91.7,-3
106.3,22
95,30
76.1,68
92.8,28
85.7,39
100.4,10
80,-42
96.6,-5
104.6,6
97,20
70.9,-27
95,17
84.9,15
72.6,16
74.7,25
93,7
87,30
80.1,59
86.7,0
58.6,8
92.2,19
92.1,4
87.7,43
106.7,-2
92,37
101.8,15
104.6,21
85.3,-13
76.2,33
106.5,6
97,17
86.9,13
96.8,-6
66,45
91.7,34
101.3,10
92.1,27
96.5,16
89.1,19
99.1,2
95,12
103.9,15
102,10
93.9,19
90.1,55
68.4,-2
85.5,6
76.2,17
93.1,-15
68.3,17
91.6,68
98.2,-1
93.4,24
99.5,43
103.6,-11
83,7
102.8,26
100.1,18
93.5,-16
83.6,-16
94.2,20
94.1,6
96.7,3
64.7,-16
108.6,0
72.1,64
96.9,-12
92.8,23
94.8,-9
93,48
78.4,-36
93.7,8
81.7,4
85.7,17
91.4,55
98,22
88,-2
97.9,-8
88.6,-1
110.9,20
80,25
87.6,-7
75.8,-1
101.4,26
108.1,27
87.2,10
59,-60
74,-40
93.3,27
72.7,17
61.7,-38
