hit_speed,hit_angle
107,21
66.5,14
96,2
91.1,32
104.9,15
98.3,-8
60.7,-31
103,19
102.1,-3
85.7,31
95.2,-14
83.3,-6
97.9,32
73.7,80
92.9,-17
107.5,-18
55.7,49
96.4,28
99.3,12
98.6,-13
85.7,-1
108.8,21
100.7,37
76.1,58
104.4,7
104.9,3
86.3,12
103.4,-5
81.9,60
98.8,14
95.8,-20
101.3,-3
89.1,24
86.1,44
85.4,14
109.5,-4
95.7,38
100.6,25
97.1,6
89.3,16
82.2,-11
106.2,-7
104.6,23
104.1,-13
90.7,27
90.5,13
97,23
105.2,31
104.3,20
83.8,-12
94.1,-12
93.4,43
105.8,7
104.4,14
95,19
107,12
65.4,-55
95.8,47
94,-11
75.2,76
92.7,-1
78.2,-20
74.4,-50
56.4,-43
76.4,-11
105,-5
103.3,21
101.5,25
76.2,66
103.6,16
64.8,38
79.6,17
102.8,-20
81.6,15
88.6,49
103,-2
96,3
106.7,-13
105.5,-17
101.7,3
95.2,25
94,28
70.3,42
99.6,-2
106.2,-3
77.8,-17
100.3,-8
96.1,25
101.1,-20
97,-31
76.5,32
75.4,-12
93.8,39
91.4,47
94.2,4
94.8,26
76.5,34
91.6,-1
101.9,37
85.7,-14
79.1,13
79.8,32
102.6,5
98.1,-21
66.2,46
89.4,29
100.9,-4
81.5,26
99.8,31
82.6,-20
104.2,22
98.6,9
77.5,5
102.3,1
96.4,11
100.6,-22
94.5,-1
57,-49
85.3,-10
78.4,-24
99.2,26
102.8,4
84.8,-1
98.1,-5
94.7,39
88.7,22
97.7,6
73.3,63
73.5,-13
88.1,40
71.8,-1
96.1,11
94.2,39
100.1,17
93.7,5
77.9,7
89.2,-27
84.9,49
89.7,-10
100.7,21
103.6,28
110.4,7
104.2,-3
57.9,-52
75,-6
104.4,19
90.3,37
89.3,35
94.3,-1
91.1,6
91.3,49
104.5,5
88.1,24
86.8,38
83.5,2
92,21
80.5,30
97,27
96.5,6
96.8,-23
45.5,8
91.3,-28
85.9,-29
70,-48
94.1,14
106.5,13
67.8,-60
94.4,49
89.7,42
104.5,12
86,-33
111.2,-6
98.5,-5
94.4,-21
80.8,-9
97.6,-7
76.5,42
106.5,22
91.7,26
103.2,7
101.3,27
100.9,27
96.5,35
104.3,-8
94,-23
98.2,19
100.2,9
78.8,-44
102.6,19
92,29
86.2,19
101.1,7
103.6,-5
92.8,-7
95.3,32
99.5,5
101.9,6
68.1,33
74.2,23
98.7,-6
91.6,31
97.9,-15
105.4,2
61.5,-10
103.1,-5
76.7,26
93.3,-17
73.5,21
73.6,-15
102,1
95,-22
93.3,29
78.7,-24
87.6,-5
103.5,-13
87.4,55
70.2,63
102.3,-16
96.4,11
89,25
97.5,26
83.9,-11
89.2,-9
96,19
96,10
104.1,-16
106.1,-1
100.3,24
87.7,-17
104.9,-6
84.4,2
90.1,1
99.5,-24
71.7,7
89.7,17
95.5,6
106.2,-5
106.6,18
81.9,32
99.2,-4
69,36
72.8,29
107.2,-6
102.9,27
66,56
70.1,21
86.3,-1
71,-27
94,4
68,-27
103.5,-15
93,17
88.1,18
104.2,-18
84.6,48
89,31
102.9,28
102,18
92.3,0
95.6,25
90,53
79.6,38
93.5,8
81.7,21
103.4,17
98,11
93.2,8
98.8,-8
100.9,29
79.8,26
102.8,18
101.5,31
73.6,-19
88.1,50
90.6,10
95.7,27
102.8,25
95.8,0
82.8,49
91.6,23
77.6,-36
100,-3
90.9,26
74.3,9
104.1,17
80.7,-23
91.8,17
99.1,-8
103,7
103.3,-14
83.9,46
101.2,25
99.5,-14
98.4,11
80.2,54
105.6,-15
98.4,-26
75.1,6
107.6,-15
37.1,4
66.7,-52
96.7,17
93,24
84.8,56
98.8,8
94.7,7
80.4,48
96.5,23
91.5,55
84.7,-14
65,8
34.7,25
100.5,6
103.1,9
107.2,18
51.5,-62
106.4,23
103.1,19
88.5,-20
107.7,-14
103.1,20
99.2,42
76,-27
92.8,-9
90.7,5
92.5,-31
102.3,9
110.9,11
72.9,11
83.1,30
92.7,-26
104.2,17
99.3,24
84,42
81.7,28
89,16
93.2,31
87.3,32
99.7,30
99.9,26
73.9,-10
96.8,-23
100.8,8
85.6,60
88.3,37
90.9,15
103.5,17
95.3,26
97.7,4
71.3,62
72.9,62
90.8,9
99.1,14
94.1,-28
98.3,-20
74.8,49
109.6,-0
101.2,18
90.3,35
101.7,13
98.7,-1
104.2,-24
102.5,4
78.8,5
62.5,-25
101.7,8
76,48
98,31
96.1,-22
90.4,28
94.4,-8
95,16
102,16
81.7,56
72.5,47
100.8,-32
97.5,-21
79.2,56
102.4,32
92.6,28
76.8,12
101.2,27
92.9,24
95.7,-4
103,19
102.1,-3
85.7,31
69.7,-12
92.1,26
105.5,18
94.5,31
85.6,-8
97,10
97.7,-4
99.5,20
101.2,-29
53.4,29
102.3,6
89.5,46
81.7,10
106.8,-3
95.6,-17
88.7,-24
79.2,67
79.1,49
101.1,3
57.9,37
96,31
90.9,-32
94,26
106.8,-4
104.8,-21
101.3,-33
98.7,7
80.9,-3
96.3,-3
63.7,87
94.2,19
83.7,20
106.7,9
101.4,9
106.4,-4
83.2,-42
89.4,9
96.3,6
