hit_speed,hit_angle
100.9,13
93.7,34
98.3,17
86,-42
106.2,22
75.5,-6
113.6,6
99.8,25
97.4,44
104.3,29
76.3,-57
92.8,15
86.1,-25
77.2,25
94.7,25
106,-7
76.7,12
107.8,2
94.1,-25
106.9,16
95.3,0
106.7,-13
92.4,35
96.2,-12
85.3,-23
96.8,-16
97.2,-10
87.6,38
96.4,-14
111.1,9
95.7,-29
108.7,1
85.7,14
105.9,-7
104.2,15
100.7,13
106.7,18
51.9,-62
101.5,3
70.8,1
91.4,-22
105.5,-12
73.8,-13
90.2,-23
99.6,38
101.4,0
91.5,-25
82.6,-21
103.1,8
83.7,13
108.5,1
103.5,16
104.8,-7
103,15
100.3,-1
72.9,35
75.7,17
95.5,-10
106.1,18
99.2,-18
103.3,-22
78.8,-37
110,22
87.6,29
88.7,7
87.6,-13
102.5,-2
96.7,0
108.5,29
111.5,27
89.7,-22
90.6,-9
85.4,17
64.5,24
84.9,14
96.2,4
96.8,-7
103.5,2
70.6,-20
97.5,43
76.8,-47
98.5,26
94.8,16
65.8,30
92.3,-33
84.3,19
77.5,-15
108.4,25
89.3,-25
101.6,22
103.5,15
105.4,1
102.6,-22
95.1,1
92.2,19
109.6,-5
112.7,8
106.4,2
100.3,22
105.1,6
96.2,4
102.1,29
111.5,-7
103.3,19
105.9,-17
103.9,11
65,-47
86,-43
84.9,19
82.1,-5
100.7,-5
88.1,2
81.4,-24
106.7,-8
100.6,-22
87.6,-10
90.2,11
77.8,20
107.7,8
95.8,-33
100.9,26
86.6,-38
77.8,-2
108.3,9
94,10
86.5,37
108.9,19
93.4,-15
100.3,-17
99.7,-12
102.5,8
107.3,3
104,-3
106,1
81.5,49
108.7,9
103.8,-11
83.3,-7
75.2,25
95.1,-8
95.8,7
101.9,4
106.2,-10
70.7,-10
98.6,-24
104,23
102.3,0
105.7,17
100.2,-12
104.4,0
106.8,4
87,-19
98.5,23
74.1,11
106.8,9
69.5,-25
105,21
65.5,-60
45.9,-65
106.3,0
96.8,1
76.5,-33
85.9,56
107.3,7
96.5,29
68.4,25
84.6,16
85.1,37
98.7,-8
99.3,22
69.8,-27
91.4,5
97.2,-0
37.1,1
74.1,-23
80.9,6
80.3,21
101.1,-15
85.1,-21
106,14
85.2,-18
95.8,-15
99.8,9
98.4,8
101.5,-15
101.9,-8
100.1,-2
81.2,15
100.4,12
99.4,25
99.9,15
105.9,16
56.9,-53
43.4,-3
92.5,-15
107.4,14
104.1,18
108.4,12
88.8,-28
106.4,2
96.4,-6
84.9,-29
102.4,8
71.5,19
92.8,4
99.5,-3
82.5,26
104.1,27
101.5,41
100.5,-28
90.9,-3
85.5,4
70.3,29
96.5,-10
107.4,39
89.9,6
95.8,-1
92.2,41
97.6,8
104.5,-12
102.7,-10
92.8,20
98.7,-21
103.4,23
99.8,-13
74.1,1
110.8,24
88.8,20
103.8,12
85.9,2
85.9,-14
74.7,-14
86.1,-7
101.6,28
107.3,3
103.5,35
75.7,-7
109.1,22
98.8,17
100.1,-8
87.4,24
99.9,10
95.7,-18
91.3,2
67.7,-47
102.6,33
89.8,6
84.5,-40
107.6,9
89.5,35
85.3,2
102.1,-17
81.2,-5
92.9,-2
102.9,9
107.8,5
93.8,22
95.7,23
102.5,18
96.9,17
108.2,13
77.7,-15
96.3,20
109.8,5
76.7,22
105.3,16
106.5,2
78.7,-25
112.4,21
107.4,17
99.4,47
86.4,8
109.8,0
100.3,15
84.5,13
108.6,-10
87.1,-8
103.8,14
90.7,-19
98.9,21
87.3,-27
99.4,27
103.6,11
103.3,25
103.2,7
103.3,5
96.1,-6
91.1,-14
80.2,-30
92.5,-5
89.8,21
99.2,0
75.3,-16
107.7,17
92.8,1
88.5,-0
96.1,-24
76.3,-53
53.6,-58
94.9,58
92.8,-22
64.2,33
104.1,22
102.6,29
91.8,-19
102.9,9
73,4
105,22
82.9,19
92.8,-16
100,-11
90.5,-10
103.2,-18
103.5,36
101.3,-12
98.3,-7
94.1,-33
95.8,37
86.1,23
102.8,25
78.1,9
75.5,-28
92.8,-18
95.6,15
67.8,-40
64.5,-65
89.5,-13
84.7,44
86.9,-7
69.7,-15
55.8,-77
100.5,24
106.9,13
50.9,9
106.2,1
44.5,11
100.5,27
78.2,1
94,11
104.7,-1
96.1,29
91.8,-18
89.2,-9
102.4,20
83.4,38
109.2,-4
97.8,48
93.9,32
91.4,22
99.1,0
68.8,51
106.9,2
69.7,-2
100.8,1
107.6,17
75.2,-29
95.3,42
85.5,-21
89.3,16
92.4,20
73.7,2
103.7,7
93.5,46
111.2,0
110.7,9
94.8,-4
95.3,-9
100,35
75.2,31
95.2,-11
75.6,6
102.6,3
97,19
100.7,24
103,21
83.8,-27
108.7,1
75.2,11
102.7,19
89.6,30
106.7,34
62.1,-33
108.5,3
100.5,-8
90.7,-18
98.7,15
91.8,-2
108.2,1
83.8,38
85.1,-12
105,-7
107.5,-17
111.2,-1
84.9,-50
84.5,-38
79.2,4
96,14
111,15
91.8,24
91.1,-17
104.7,28
75.4,-18
106.3,-2
94.3,7
105.9,11
64.4,-21
96,10
