hit_speed,hit_angle
77.6,-35
62.4,11
59.2,-32
83.5,-13
93,-15
74,-29
95.2,10
86,4
83.3,7
97.5,-3
92.4,20
98,11
74.2,-23
82.4,28
97,18
98.9,1
89.4,22
100.4,-0
67.9,-26
96.7,1
100.1,10
81.5,32
76.9,-22
96.4,16
91.8,30
45,-79
79.5,2
86.5,24
87.3,28
67.6,-31
56.8,36
68.2,-20
95.6,-3
102.2,-7
95,-12
100.2,17
70,-18
90.4,-26
92.5,0
85.3,59
101.6,2
81.6,39
90.3,78
97.6,-4
91.9,7
95.7,26
96.9,27
74,-37
97.8,-5
92,-7
87.1,-3
66.7,-27
88.9,38
82,-18
88.3,8
74.9,-14
94.3,-16
96.5,2
99.4,-7
83,46
65.5,-40
74.6,10
97.1,-5
37.3,81
89.5,13
83.2,13
88.7,20
90.6,-27
97.2,-11
78.1,-12
80.8,-23
82,35
99.7,-11
63.9,-3
93,-9
86.1,7
75,87
95.7,-6
84.8,-37
83.1,22
90.4,-1
71.1,5
83.7,-2
59.1,-34
91.2,11
87.8,28
93.9,-15
95.9,-21
93.1,-14
99,-11
85.6,34
90.1,29
92,-15
97.3,-0
75.7,-5
82.4,-12
76,-31
88.3,41
89.3,-7
92.7,-6
81.6,62
97.9,-6
71.7,-34
92.2,8
76.5,56
92.4,-11
81.7,23
93.7,2
88.8,13
100.4,0
78.7,-29
96.8,-16
75.9,-14
56,-59
86.5,6
96.6,-8
77.8,5
99.8,2
98.5,17
76.5,28
101.8,13
88.8,18
91.8,-1
98.2,-0
92,-16
90.6,35
93.5,30
92.2,3
78.3,-16
76.3,29
90.7,7
87,-3
94.1,27
93.4,18
94.4,-1
88.3,10
97.7,11
81.4,-18
101.2,-3
92.5,-23
97.4,-11
88.2,-3
97.6,6
71.8,13
88.3,22
95.1,-28
97.7,7
60.8,1
87.3,1
57.5,-56
90.6,18
91.1,-17
88.8,9
69,-18
89.8,-31
89.2,2
91.5,17
73.7,8
90.5,-5
90,21
73.4,-3
88.3,14
97.2,3
82.5,-8
94.6,30
82.4,-26
81,-33
86.6,-5
99.6,8
90.7,17
86.5,-5
97,-6
89.5,17
90.7,34
99.8,-1
95.4,3
35.3,-50
92.3,41
97.9,-1
86.4,-19
93.4,-3
84.7,10
90.7,17
82,30
104.5,12
96.5,-19
78.5,77
75.7,22
97.4,2
83.5,-17
97.4,8
100.3,-7
101.5,-14
74.1,38
53.7,5
93.6,-28
93.5,5
94.4,-25
87.6,-1
85,-29
96.1,7
89.7,23
87.5,-17
91.6,28
88,-8
83,8
99.4,2
93.3,19
94.3,6
95.6,19
81.2,6
76.2,76
91.4,13
103.3,13
97.8,18
85.9,-1
89.8,27
84.8,39
83.3,24
38,-64
99.1,19
100,1
97.5,20
102.8,-13
75.7,48
100.2,-11
65.6,-39
37.1,-42
56.7,-56
93.3,8
38.3,-19
96.1,-1
57.3,-2
97.8,10
97.2,0
88.4,34
68.3,30
66.9,-32
95.1,36
100.5,11
86.2,47
96.9,-21
97.5,-15
69.6,65
75.8,-34
99.4,5
81.4,-7
93.8,10
93,6
98.5,-17
93.7,-11
103.5,-8
96,15
91.1,28
91.3,37
94.5,22
84.2,-13
95.8,10
78.5,-32
98.7,1
96.4,-3
100.3,23
98,0
98,19
97.3,18
97.1,9
73.7,37
94.6,5
94.6,-20
91.9,20
96.3,-1
100.9,23
78.2,-2
87.6,-11
103.2,21
77.8,-4
84.8,47
87.7,-32
93.7,32
100,-10
85,30
92.2,4
93.8,-3
98.8,19
89.5,-22
80.4,20
96.1,21
80.3,39
87.8,60
90.1,22
68.6,51
64.8,17
104.1,7
80.1,37
100.3,-0
99.6,39
76.1,-10
70,-11
85.4,53
79.3,47
84.4,-39
91,15
89.7,-16
94.9,18
77.1,-35
91.5,-20
95.6,8
74.8,-33
81.3,18
86.3,35
90.4,-10
102.7,32
71.6,9
80.3,-17
97.9,-4
92.5,19
104.8,4
